,fips,hrr
2263710,42001,352
2263711,42001,363
2263712,42001,352
2263713,42001,363
2263714,42001,352
2263715,42001,363
2263716,42001,352
2263717,42001,363
2263718,42001,352
2263719,42001,363
2263720,42001,352
2263721,42001,363
2263722,42001,352
2263723,42001,363
2263724,42001,352
2263725,42001,363
2263726,42001,352
2263727,42001,363
2263728,42001,352
2263729,42001,363
2263730,42001,352
2263731,42001,363
2263732,42001,352
2263733,42001,363
2263734,42001,352
2263735,42001,363
2263736,42001,352
2263737,42001,363
2263738,42001,352
2263739,42001,363
2263740,42001,352
2263741,42001,363
2263742,42001,352
2263743,42001,363
2263744,42001,352
2263745,42001,363
2263746,42001,352
2263747,42001,363
2263748,42001,352
2263749,42001,363
2263750,42001,352
2263751,42001,363
2263752,42001,352
2263753,42001,363
2263754,42001,352
2263755,42001,363
2263756,42001,352
2263757,42001,363
2263758,42001,352
2263759,42001,363
2263760,42001,352
2263761,42001,363
2263762,42001,352
2263763,42001,363
2263764,42001,352
2263765,42001,363
2263766,42001,352
2263767,42001,363
2263768,42001,352
2263769,42001,363
2263770,42001,352
2263771,42001,363
2263772,42001,352
2263773,42001,363
2263774,42001,352
2263775,42001,363
2263776,42001,352
2263777,42001,363
2263778,42001,352
2263779,42001,363
2263780,42001,352
2263781,42001,363
2263782,42001,352
2263783,42001,363
2263784,42001,352
2263785,42001,363
2263786,42001,352
2263787,42001,363
2263788,42001,352
2263789,42001,363
2263790,42001,352
2263791,42001,363
2263792,42001,352
2263793,42001,363
2263794,42001,352
2263795,42001,363
2263796,42001,352
2263797,42001,363
2263798,42001,352
2263799,42001,363
2263800,42001,352
2263801,42001,363
2263802,42001,352
2263803,42001,363
2263804,42001,352
2263805,42001,363
2263806,42001,352
2263807,42001,363
2263808,42001,352
2263809,42001,363
2263810,42001,352
2263811,42001,363
2263812,42001,352
2263813,42001,363
2263814,42001,352
2263815,42001,363
2263816,42001,352
2263817,42001,363
2263818,42001,352
2263819,42001,363
2263820,42001,352
2263821,42001,363
2263822,42001,352
2263823,42001,363
2263824,42001,352
2263825,42001,363
2263826,42001,352
2263827,42001,363
2263828,42001,352
2263829,42001,363
2263830,42001,352
2263831,42001,363
2263832,42001,352
2263833,42001,363
2263834,42001,352
2263835,42001,363
2263836,42001,352
2263837,42001,363
2263838,42001,352
2263839,42001,363
2263840,42001,352
2263841,42001,363
2263842,42001,352
2263843,42001,363
2263844,42001,352
2263845,42001,363
2263846,42001,352
2263847,42001,363
2263848,42001,352
2263849,42001,363
2263850,42001,352
2263851,42001,363
2263852,42001,352
2263853,42001,363
2263854,42001,352
2263855,42001,363
2263856,42001,352
2263857,42001,363
2263858,42001,352
2263859,42001,363
2263860,42001,352
2263861,42001,363
2263862,42001,352
2263863,42001,363
2263864,42001,352
2263865,42001,363
2263866,42001,352
2263867,42001,363
2263868,42001,352
2263869,42001,363
2263870,42001,352
2263871,42001,363
2263872,42001,352
2263873,42001,363
2263874,42001,352
2263875,42001,363
2263876,42001,352
2263877,42001,363
2263878,42001,352
2263879,42001,363
2263880,42001,352
2263881,42001,363
2263882,42001,352
2263883,42001,363
2263884,42001,352
2263885,42001,363
2263886,42001,352
2263887,42001,363
2263888,42001,352
2263889,42001,363
2263890,42001,352
2263891,42001,363
2263892,42001,352
2263893,42001,363
2263894,42001,352
2263895,42001,363
2263896,42001,352
2263897,42001,363
2263898,42001,352
2263899,42001,363
2263900,42001,352
2263901,42001,363
2263902,42001,352
2263903,42001,363
2263904,42001,352
2263905,42001,363
2263906,42001,352
2263907,42001,363
2263908,42001,352
2263909,42001,363
2263910,42001,352
2263911,42001,363
2263912,42001,352
2263913,42001,363
2263914,42001,352
2263915,42001,363
2263916,42001,352
2263917,42001,363
2263918,42001,352
2263919,42001,363
2263920,42001,352
2263921,42001,363
2263922,42001,352
2263923,42001,363
2263924,42001,352
2263925,42001,363
2263926,42001,352
2263927,42001,363
2263928,42001,352
2263929,42001,363
2263930,42001,352
2263931,42001,363
2263932,42001,352
2263933,42001,363
2263934,42001,352
2263935,42001,363
2263936,42001,352
2263937,42001,363
2263938,42001,352
2263939,42001,363
2263940,42001,352
2263941,42001,363
2263942,42001,352
2263943,42001,363
2263944,42001,352
2263945,42001,363
2263946,42001,352
2263947,42001,363
2263948,42001,352
2263949,42001,363
2263950,42001,352
2263951,42001,363
2263952,42001,352
2263953,42001,363
2263954,42001,352
2263955,42001,363
2263956,42001,352
2263957,42001,363
2263958,42001,352
2263959,42001,363
2263960,42001,352
2263961,42001,363
2263962,42001,352
2263963,42001,363
2263964,42001,352
2263965,42001,363
2263966,42001,352
2263967,42001,363
2263968,42001,352
2263969,42001,363
2263970,42001,352
2263971,42001,363
2263972,42001,352
2263973,42001,363
2263974,42001,352
2263975,42001,363
2263976,42001,352
2263977,42001,363
2263978,42001,352
2263979,42001,363
2263980,42001,352
2263981,42001,363
2263982,42001,352
2263983,42001,363
2263984,42001,352
2263985,42001,363
2263986,42001,352
2263987,42001,363
2263988,42001,352
2263989,42001,363
2263990,42001,352
2263991,42001,363
2263992,42001,352
2263993,42001,363
2263994,42001,352
2263995,42001,363
2263996,42001,352
2263997,42001,363
2263998,42001,352
2263999,42001,363
2264000,42001,352
2264001,42001,363
2264002,42001,352
2264003,42001,363
2264004,42001,352
2264005,42001,363
2264006,42001,352
2264007,42001,363
2264008,42001,352
2264009,42001,363
2264010,42001,352
2264011,42001,363
2264012,42001,352
2264013,42001,363
2264014,42001,352
2264015,42001,363
2264016,42001,352
2264017,42001,363
2264018,42001,352
2264019,42001,363
2264020,42001,352
2264021,42001,363
2264022,42001,352
2264023,42001,363
2264024,42001,352
2264025,42001,363
2264026,42001,352
2264027,42001,363
2264028,42001,352
2264029,42001,363
2264030,42001,352
2264031,42001,363
2264032,42001,352
2264033,42001,363
2264034,42001,352
2264035,42001,363
2264036,42001,352
2264037,42001,363
2264038,42001,352
2264039,42001,363
2264040,42001,352
2264041,42001,363
2264042,42001,352
2264043,42001,363
2264044,42001,352
2264045,42001,363
2264046,42001,352
2264047,42001,363
2264048,42001,352
2264049,42001,363
2264050,42001,352
2264051,42001,363
2264052,42001,352
2264053,42001,363
2264054,42001,352
2264055,42001,363
2264056,42001,352
2264057,42001,363
2264058,42001,352
2264059,42001,363
2264060,42001,352
2264061,42001,363
2264062,42001,352
2264063,42001,363
2264064,42001,352
2264065,42001,363
2264066,42001,352
2264067,42001,363
2264068,42001,352
2264069,42001,363
2264070,42001,352
2264071,42001,363
2264072,42001,352
2264073,42001,363
2264074,42001,352
2264075,42001,363
2264076,42001,352
2264077,42001,363
2264078,42001,352
2264079,42001,363
2264080,42001,352
2264081,42001,363
2264082,42001,352
2264083,42001,363
2264084,42001,352
2264085,42001,363
2264086,42001,352
2264087,42001,363
2264088,42001,352
2264089,42001,363
2264090,42001,352
2264091,42001,363
2264092,42001,352
2264093,42001,363
2264094,42001,352
2264095,42001,363
2264096,42001,352
2264097,42001,363
2264098,42001,352
2264099,42001,363
