,geo_value,geo_type,value,time_value
2263710,42001,county,3.0,2020-05-01
2263712,42001,county,2.0,2020-05-02
2263714,42001,county,5.0,2020-05-03
2263716,42001,county,3.0,2020-05-04
2263718,42001,county,0.0,2020-05-05
2263720,42001,county,1.0,2020-05-06
2263722,42001,county,2.0,2020-05-07
2263724,42001,county,3.0,2020-05-08
2263726,42001,county,2.0,2020-05-09
2263728,42001,county,3.0,2020-05-10
2263730,42001,county,8.0,2020-05-11
2263732,42001,county,0.0,2020-05-12
2263734,42001,county,2.0,2020-05-13
2263736,42001,county,5.0,2020-05-14
2263738,42001,county,9.0,2020-05-15
2263740,42001,county,1.0,2020-05-16
2263742,42001,county,5.0,2020-05-17
2263744,42001,county,4.0,2020-05-18
2263746,42001,county,0.0,2020-05-19
2263748,42001,county,4.0,2020-05-20
2263750,42001,county,7.0,2020-05-21
2263752,42001,county,11.0,2020-05-22
2263754,42001,county,7.0,2020-05-23
2263756,42001,county,4.0,2020-05-24
2263758,42001,county,2.0,2020-05-25
2263760,42001,county,6.0,2020-05-26
2263762,42001,county,2.0,2020-05-27
2263764,42001,county,4.0,2020-05-28
2263766,42001,county,1.0,2020-05-29
2263768,42001,county,4.0,2020-05-30
2263770,42001,county,5.0,2020-05-31
2263772,42001,county,0.0,2020-06-01
2263774,42001,county,5.0,2020-06-02
2263776,42001,county,5.0,2020-06-03
2263778,42001,county,3.0,2020-06-04
2263780,42001,county,1.0,2020-06-05
2263782,42001,county,7.0,2020-06-06
2263784,42001,county,2.0,2020-06-07
2263786,42001,county,3.0,2020-06-08
2263788,42001,county,0.0,2020-06-09
2263790,42001,county,2.0,2020-06-10
2263792,42001,county,2.0,2020-06-11
2263794,42001,county,5.0,2020-06-12
2263796,42001,county,5.0,2020-06-13
2263798,42001,county,1.0,2020-06-14
2263800,42001,county,6.0,2020-06-15
2263802,42001,county,2.0,2020-06-16
2263804,42001,county,2.0,2020-06-17
2263806,42001,county,4.0,2020-06-18
2263808,42001,county,5.0,2020-06-19
2263810,42001,county,1.0,2020-06-20
2263812,42001,county,4.0,2020-06-21
2263814,42001,county,3.0,2020-06-22
2263816,42001,county,4.0,2020-06-23
2263818,42001,county,0.0,2020-06-24
2263820,42001,county,2.0,2020-06-25
2263822,42001,county,1.0,2020-06-26
2263824,42001,county,3.0,2020-06-27
2263826,42001,county,1.0,2020-06-28
2263828,42001,county,4.0,2020-06-29
2263830,42001,county,7.0,2020-06-30
2263832,42001,county,2.0,2020-07-01
2263834,42001,county,1.0,2020-07-02
2263836,42001,county,2.0,2020-07-03
2263838,42001,county,8.0,2020-07-04
2263840,42001,county,0.0,2020-07-05
2263842,42001,county,0.0,2020-07-06
2263844,42001,county,3.0,2020-07-07
2263846,42001,county,5.0,2020-07-08
2263848,42001,county,6.0,2020-07-09
2263850,42001,county,10.0,2020-07-10
2263852,42001,county,8.0,2020-07-11
2263854,42001,county,10.0,2020-07-12
2263856,42001,county,3.0,2020-07-13
2263858,42001,county,1.0,2020-07-14
2263860,42001,county,1.0,2020-07-15
2263862,42001,county,9.0,2020-07-16
2263864,42001,county,1.0,2020-07-17
2263866,42001,county,2.0,2020-07-18
2263868,42001,county,1.0,2020-07-19
2263870,42001,county,1.0,2020-07-20
2263872,42001,county,8.0,2020-07-21
2263874,42001,county,3.0,2020-07-22
2263876,42001,county,13.0,2020-07-23
2263878,42001,county,3.0,2020-07-24
2263880,42001,county,2.0,2020-07-25
2263882,42001,county,0.0,2020-07-26
2263884,42001,county,0.0,2020-07-27
2263886,42001,county,6.0,2020-07-28
2263888,42001,county,5.0,2020-07-29
2263890,42001,county,7.0,2020-07-30
2263892,42001,county,2.0,2020-07-31
2263894,42001,county,6.0,2020-08-01
2263896,42001,county,5.0,2020-08-02
2263898,42001,county,5.0,2020-08-03
2263900,42001,county,2.0,2020-08-04
2263902,42001,county,2.0,2020-08-05
2263904,42001,county,7.0,2020-08-06
2263906,42001,county,6.0,2020-08-07
2263908,42001,county,2.0,2020-08-08
2263910,42001,county,20.0,2020-08-09
2263912,42001,county,6.0,2020-08-10
2263914,42001,county,7.0,2020-08-11
2263916,42001,county,4.0,2020-08-12
2263918,42001,county,5.0,2020-08-13
2263920,42001,county,4.0,2020-08-14
2263922,42001,county,2.0,2020-08-15
2263924,42001,county,2.0,2020-08-16
2263926,42001,county,0.0,2020-08-17
2263928,42001,county,0.0,2020-08-18
2263930,42001,county,4.0,2020-08-19
2263932,42001,county,5.0,2020-08-20
2263934,42001,county,4.0,2020-08-21
2263936,42001,county,5.0,2020-08-22
2263938,42001,county,2.0,2020-08-23
2263940,42001,county,3.0,2020-08-24
2263942,42001,county,3.0,2020-08-25
2263944,42001,county,6.0,2020-08-26
2263946,42001,county,5.0,2020-08-27
2263948,42001,county,15.0,2020-08-28
2263950,42001,county,30.0,2020-08-29
2263952,42001,county,6.0,2020-08-30
2263954,42001,county,5.0,2020-08-31
2263956,42001,county,7.0,2020-09-01
2263958,42001,county,31.0,2020-09-02
2263960,42001,county,10.0,2020-09-03
2263962,42001,county,9.0,2020-09-04
2263964,42001,county,7.0,2020-09-05
2263966,42001,county,3.0,2020-09-06
2263968,42001,county,3.0,2020-09-07
2263970,42001,county,3.0,2020-09-08
2263972,42001,county,6.0,2020-09-09
2263974,42001,county,1.0,2020-09-10
2263976,42001,county,2.0,2020-09-11
2263978,42001,county,11.0,2020-09-12
2263980,42001,county,2.0,2020-09-13
2263982,42001,county,6.0,2020-09-14
2263984,42001,county,9.0,2020-09-15
2263986,42001,county,8.0,2020-09-16
2263988,42001,county,7.0,2020-09-17
2263990,42001,county,2.0,2020-09-18
2263992,42001,county,17.0,2020-09-19
2263994,42001,county,5.0,2020-09-20
2263996,42001,county,8.0,2020-09-21
2263998,42001,county,9.0,2020-09-22
2264000,42001,county,6.0,2020-09-23
2264002,42001,county,4.0,2020-09-24
2264004,42001,county,7.0,2020-09-25
2264006,42001,county,3.0,2020-09-26
2264008,42001,county,6.0,2020-09-27
2264010,42001,county,2.0,2020-09-28
2264012,42001,county,5.0,2020-09-29
2264014,42001,county,13.0,2020-09-30
2264016,42001,county,4.0,2020-10-01
2264018,42001,county,10.0,2020-10-02
2264020,42001,county,11.0,2020-10-03
2264022,42001,county,3.0,2020-10-04
2264024,42001,county,4.0,2020-10-05
2264026,42001,county,8.0,2020-10-06
2264028,42001,county,10.0,2020-10-07
2264030,42001,county,10.0,2020-10-08
2264032,42001,county,6.0,2020-10-09
2264034,42001,county,12.0,2020-10-10
2264036,42001,county,5.0,2020-10-11
2264038,42001,county,4.0,2020-10-12
2264040,42001,county,6.0,2020-10-13
2264042,42001,county,14.0,2020-10-14
2264044,42001,county,5.0,2020-10-15
2264046,42001,county,6.0,2020-10-16
2264048,42001,county,14.0,2020-10-17
2264050,42001,county,10.0,2020-10-18
2264052,42001,county,20.0,2020-10-19
2264054,42001,county,15.0,2020-10-20
2264056,42001,county,7.0,2020-10-21
2264058,42001,county,9.0,2020-10-22
2264060,42001,county,19.0,2020-10-23
2264062,42001,county,7.0,2020-10-24
2264064,42001,county,13.0,2020-10-25
2264066,42001,county,16.0,2020-10-26
2264068,42001,county,24.0,2020-10-27
2264070,42001,county,14.0,2020-10-28
2264072,42001,county,14.0,2020-10-29
2264074,42001,county,14.0,2020-10-30
2264076,42001,county,20.0,2020-10-31
2264078,42001,county,7.0,2020-11-01
2264080,42001,county,11.0,2020-11-02
2264082,42001,county,34.0,2020-11-03
2264084,42001,county,7.0,2020-11-04
2264086,42001,county,15.0,2020-11-05
2264088,42001,county,37.0,2020-11-06
2264090,42001,county,28.0,2020-11-07
2264092,42001,county,24.0,2020-11-08
2264094,42001,county,18.0,2020-11-09
2264096,42001,county,25.0,2020-11-10
2264098,42001,county,27.0,2020-11-11
2264100,42001,county,21.0,2020-11-12
2264102,42001,county,37.0,2020-11-13
2264104,42001,county,21.0,2020-11-14
2264106,42001,county,6.0,2020-11-15
2264108,42001,county,29.0,2020-11-16
2264110,42001,county,35.0,2020-11-17
2264112,42001,county,36.0,2020-11-18
2264114,42001,county,29.0,2020-11-19
2264116,42001,county,26.0,2020-11-20
2264118,42001,county,50.0,2020-11-21
2264120,42001,county,71.0,2020-11-22
2264122,42001,county,8.0,2020-11-23
2264124,42001,county,32.0,2020-11-24
2264126,42001,county,27.0,2020-11-25
2264128,42001,county,45.0,2020-11-26
2264130,42001,county,32.0,2020-11-27
2264132,42001,county,61.0,2020-11-28
2264134,42001,county,30.0,2020-11-29
2264136,42001,county,25.0,2020-11-30
2264138,42001,county,19.0,2020-12-01
2264140,42001,county,52.0,2020-12-02
2264142,42001,county,127.0,2020-12-03
2264144,42001,county,108.0,2020-12-04
2264146,42001,county,98.0,2020-12-05
2264148,42001,county,60.0,2020-12-06
2264150,42001,county,25.0,2020-12-07
2264152,42001,county,91.0,2020-12-08
2264154,42001,county,35.0,2020-12-09
2264156,42001,county,111.0,2020-12-10
